[Report Generation Time (2023/12/06 23:56:57.752 )]
[Summary]
=========================[MMRF Temperature Sensor calibration]              Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.010
Calibration Procedure         0.120
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.070
=========================[MMRF Temperature Sensor calibration]              End=========================
=========================[Multi-Mode self calibration]                      Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.000
Calibration Procedure         48.760
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.050
=========================[Multi-Mode self calibration]                      End=========================
=========================[GSM FHC DTS ( AFC )]                              Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.280
Calibration Procedure         2.190
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.210
=========================[GSM FHC DTS ( AFC )]                              End=========================
=========================[LTE MM TMS calibration]                           Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.000
Calibration Procedure         1.260
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.120
=========================[LTE MM TMS calibration]                           End=========================
=========================[GSM FHC DTS ( AGC )]                              Start=========================
Item                          Time(s)   
Parse Config                  0.030
Read Initial Files            0.110
Calibration Procedure         3.500
Retry Procedure               0.000
Check Result                  0.030
Write NVRam & Output          0.100
=========================[GSM FHC DTS ( AGC )]                              End=========================
=========================[GSM FHC UTS]                                      Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.230
Calibration Procedure         3.820
Retry Procedure               0.000
Check Result                  1.080
Write NVRam & Output          0.220
=========================[GSM FHC UTS]                                      End=========================
=========================[GSM Path Test]                                    Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.000
Calibration Procedure         0.000
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.010
=========================[GSM Path Test]                                    End=========================
[Report Generation Time (2023/12/06 23:56:57.752 )]
[MMRF Temperature Sensor calibration]
 Start Time:12/06/23 23:55:54.392 
Sample, Value
35.00, 523
    Total: 200 ms
[Multi-Mode self calibration]
 Start Time:12/06/23 23:55:54.592 
    Total: 48810 ms
[GSM FHC DTS ( AFC )]
 Start Time:12/06/23 23:56:43.792 
    Total: 2680 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        67,          0,        255,         PASS
[GSM AFC Calibration]
[DCXO LPM Calibration]
Cload
66616
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4148,       3000,       6000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  4.129032,   1.000000,   5.000000,       PASS
[LTE MM TMS calibration]
 Start Time:12/06/23 23:56:46.612 
    Total: 1380 ms
[GSM FHC DTS ( AGC )]
 Start Time:12/06/23 23:56:47.992 
    Total: 3770 ms
[GSM AGC Calibration]
[AGC Calibration]
Band: (GSM850)
Arfcn, PathLoss(M), PathLoss(D), MAX(M), MAX(D), MIN(M), MIN(D), Check Result
150, 9.625, 5.375, 20.000, 20.000, -20.000, -20.000, PASS
170, 8.750, 4.375, 20.000, 20.000, -20.000, -20.000, PASS
190, 10.000, 4.125, 20.000, 20.000, -20.000, -20.000, PASS
210, 9.750, 4.875, 20.000, 20.000, -20.000, -20.000, PASS
230, 8.750, 5.750, 20.000, 20.000, -20.000, -20.000, PASS
251, 9.125, 5.500, 20.000, 20.000, -20.000, -20.000, PASS
150, 6.875, 2.000, 20.000, 20.000, -20.000, -20.000, PASS
170, 6.125, 1.000, 20.000, 20.000, -20.000, -20.000, PASS
190, 7.375, 0.750, 20.000, 20.000, -20.000, -20.000, PASS
210, 7.125, 1.500, 20.000, 20.000, -20.000, -20.000, PASS
230, 6.000, 2.250, 20.000, 20.000, -20.000, -20.000, PASS
251, 6.375, 2.000, 20.000, 20.000, -20.000, -20.000, PASS
150, 7.250, 2.250, 20.000, 20.000, -20.000, -20.000, PASS
170, 6.375, 1.125, 20.000, 20.000, -20.000, -20.000, PASS
190, 7.625, 0.875, 20.000, 20.000, -20.000, -20.000, PASS
210, 7.375, 1.625, 20.000, 20.000, -20.000, -20.000, PASS
230, 6.250, 2.500, 20.000, 20.000, -20.000, -20.000, PASS
251, 6.750, 2.250, 20.000, 20.000, -20.000, -20.000, PASS
150, 5.375, 3.375, 20.000, 20.000, -20.000, -20.000, PASS
170, 5.000, 2.125, 20.000, 20.000, -20.000, -20.000, PASS
190, 5.875, 1.875, 20.000, 20.000, -20.000, -20.000, PASS
210, 5.500, 2.500, 20.000, 20.000, -20.000, -20.000, PASS
230, 4.750, 3.250, 20.000, 20.000, -20.000, -20.000, PASS
251, 5.125, 3.125, 20.000, 20.000, -20.000, -20.000, PASS
150, 6.500, 3.000, 20.000, 20.000, -20.000, -20.000, PASS
170, 6.250, 2.500, 20.000, 20.000, -20.000, -20.000, PASS
190, 6.875, 3.125, 20.000, 20.000, -20.000, -20.000, PASS
210, 6.375, 4.000, 20.000, 20.000, -20.000, -20.000, PASS
